,spring,summer,fall,winter
1947,17245.9670792,17338.7631862,17432.3949922,17522.1962843
1948,17611.2062025,17704.0074648,17797.6400938,17887.4396802
1949,17976.4499922,18069.2520364,18162.8790881,18252.6824725
1950,18341.6910756,18434.4834686,18528.1136295,18617.9258443
1951,18706.9345067,18799.7256912,18893.3588193,18983.1666294
1952,19072.1761004,19164.9671604,19258.5998437,19348.4048892
1953,19437.4170396,19530.2084102,19623.8374001,19713.6467591
1954,19802.6620336,19895.4543273,19989.0801365,20078.8918216
1955,20167.8994482,20260.6885728,20354.3201122,20444.1324832
1956,20533.1390769,20625.9332891,20719.5660139,20809.3745639
1957,20898.3864533,20991.1810442,21084.8098609,21174.617024
1958,21263.6290301,21356.4146244,21450.0477492,21539.8608366
1959,21628.8711195,21721.6596756,21815.2976114,21905.1071009
1960,21994.113018,22086.9044667,22180.5408673,22270.3512548
1961,22359.3555467,22452.146018,22545.7795172,22635.5967654
1962,22724.6038888,22817.3918514,22911.0245032,23000.8438425
1963,23089.8470004,23182.6279011,23276.2663014,23366.0845507
1964,23455.0901817,23547.8728968,23641.5116779,23731.325984
1965,23820.3367022,23913.1221142,24006.7541616,24096.5696637
1966,24185.5783501,24278.3566231,24371.9883749,24461.8111552
1967,24550.8172878,24643.5993034,24737.2347265,24827.052911
1968,24916.0568564,25008.8426492,25102.4764985,25192.2914316
1969,25281.2972827,25374.0800056,25467.7131631,25557.5302724
1970,25646.5390948,25739.3213926,25832.9575869,25922.7747014
1971,26011.7764758,26104.555364,26198.1979904,26288.0165085
1972,26377.014976,26469.7960705,26563.4394263,26653.2588872
1973,26742.2585951,26835.0421949,26928.6814166,27018.5052817
1974,27107.5046252,27200.2762372,27293.9155513,27383.747101
1975,27472.7476109,27565.5184716,27659.16328,27748.9898909
1976,27837.9927413,27930.7669254,28024.4085106,28114.2326396
1977,28203.2376784,28296.0096723,28389.6452711,28479.4743233
1978,28568.4815826,28661.2567539,28754.8927521,28844.7228181
