America/Manaus,-4,0,BR,136,AMT,,
America/Marigot,-4,0,MF,137,AST,,
America/Martinique,-4,0,MQ,138,AST,,
America/Moncton,-4,1,CA,146,AST,ADT,
America/Montserrat,-4,0,MS,149,AST,,
America/Port_of_Spain,-4,0,TT,164,AST,,
America/Porto_Velho,-4,0,BR,165,AMT,,
America/Puerto_Rico,-4,0,PR,166,AST,,
America/Santo_Domingo,-4,0,DO,176,AST,,
America/St_Barthelemy,-4,0,BL,180,AST,,
America/St_Kitts,-4,0,KN,182,AST,,
America/St_Lucia,-4,0,LC,183,AST,,
America/St_Thomas,-4,0,VI,184,AST,,
America/St_Vincent,-4,0,VC,185,AST,,
America/Thule,-4,1,GL,188,AST,ADT,
America/Tortola,-4,0,VG,192,AST,,
Atlantic/Bermuda,-4,1,BM,289,AST,ADT,
America/St_Johns,-3.5,1,CA,181,NST,NDT,
America/Araguaina,-3,0,BR,56,BRT,,
America/Argentina/Buenos_Aires,-3,0,AR,57,ART,,
America/Argentina/Catamarca,-3,0,AR,58,ART,,
America/Argentina/Cordoba,-3,0,AR,59,ART,,
America/Argentina/Jujuy,-3,0,AR,60,ART,,
America/Argentina/La_Rioja,-3,0,AR,61,ART,,
America/Argentina/Mendoza,-3,0,AR,62,ART,,
America/Argentina/Rio_Gallegos,-3,0,AR,63,ART,,
America/Argentina/Salta,-3,0,AR,64,ART,,
America/Argentina/San_Juan,-3,0,AR,65,ART,,
America/Argentina/San_Luis,-3,0,AR,66,ART,,
America/Argentina/Tucuman,-3,0,AR,67,ART,,
America/Argentina/Ushuaia,-3,0,AR,68,ART,,
America/Asuncion,-3,-1,PY,70,PYST,PYDT,
America/Bahia,-3,0,BR,72,BRT,,
America/Belem,-3,0,BR,75,BRT,,
America/Campo_Grande,-3,-1,BR,82,AMST,AMDT,
America/Cayenne,-3,0,GF,85,GFT,,
America/Cuiaba,-3,-1,BR,91,AMST,AMDT,
America/Fortaleza,-3,0,BR,102,BRT,,
America/Godthab,-3,1,GL,104,WGT,WGST,
America/Maceio,-3,0,BR,134,BRT,,
