America/Goose_Bay,-4,1,CA,105,AST,ADT
America/Grand_Turk,-5,1,TC,106,EST,EDT
America/Grenada,-4,0,GD,107,AST,AST
America/Guadeloupe,-4,0,GP,108,AST,AST
America/Guatemala,-6,0,GT,109,CST,CST
America/Guayaquil,-5,0,EC,110,ECT,ECT
America/Guyana,-4,0,GY,111,GYT,GYT
America/Halifax,-4,1,CA,112,AST,ADT
America/Havana,-5,1,CU,113,CST,CDT
America/Hermosillo,-7,0,MX,114,MST,MST
America/Indiana/Indianapolis,-5,1,US,115,EST,EDT
America/Indiana/Knox,-6,1,US,116,CST,CDT
America/Indiana/Marengo,-5,1,US,117,EST,EDT
America/Indiana/Petersburg,-5,1,US,118,EST,EDT
America/Indiana/Tell_City,-6,1,US,119,CST,CDT
America/Indiana/Vevay,-5,1,US,120,EST,EDT
America/Indiana/Vincennes,-5,1,US,121,EST,EDT
America/Indiana/Winamac,-5,1,US,122,EST,EDT
America/Inuvik,-7,1,CA,123,MST,MDT
America/Iqaluit,-5,1,CA,124,EST,EDT
America/Jamaica,-5,0,JM,125,EST,EST
America/Juneau,-9,1,US,126,AKST,AKDT
America/Kentucky/Louisville,-5,1,US,127,EST,EDT
America/Kentucky/Monticello,-5,1,US,128,EST,EDT
America/Kralendijk,-4,0,BQ,129,AST,AST
America/La_Paz,-4,0,BO,130,BOT,BOT
America/Lima,-5,0,PE,131,PET,PET
America/Los_Angeles,-8,1,US,132,PST,PDT
America/Lower_Princes,-4,0,SX,133,AST,AST
America/Maceio,-3,0,BR,134,BRT,BRT
America/Managua,-6,0,NI,135,CST,CST
America/Manaus,-4,0,BR,136,AMT,AMT
America/Marigot,-4,0,MF,137,AST,AST
America/Martinique,-4,0,MQ,138,AST,AST
America/Matamoros,-6,1,MX,139,CST,CDT
America/Mazatlan,-7,1,MX,140,MST,MDT
America/Menominee,-6,1,US,141,CST,CDT
America/Merida,-6,1,MX,142,CST,CDT
America/Metlakatla,-8,0,US,143,PST,PST
America/Mexico_City,-6,1,MX,144,CST,CDT
America/Miquelon,-3,1,PM,145,PMST,PMDT
