0,0,0,1
1,0,1,1
2,0,2,1
3,0,3,1
4,0,4,1
5,0,5,1
6,0,6,1
7,0,7,1
8,0,8,1
9,0,0,2
10,0,1,2
11,0,2,2
12,0,3,2
13,0,4,2
14,0,5,2
15,0,6,2
16,0,7,2
17,0,8,2
18,0,0,3
19,0,1,3
20,0,2,3
21,0,3,3
22,0,4,3
23,0,5,3
24,0,6,3
25,0,7,3
26,0,8,3
27,0,0,4
28,0,1,4
29,0,2,4
30,0,3,4
31,0,4,4
32,0,5,4
33,0,6,4
34,0,7,4
35,0,8,4
36,0,0,5
37,0,1,5
38,0,2,5
39,0,3,5
40,0,4,5
41,0,5,5
42,0,6,5
43,0,7,5
44,0,8,5
45,0,0,6
46,0,1,6
47,0,2,6
48,0,3,6
49,0,4,6
50,0,5,6
51,0,6,6
52,0,7,6
53,0,8,6
54,0,0,7
55,0,1,7
56,0,2,7
57,0,3,7
58,0,4,7
59,0,5,7
60,0,6,7
61,0,7,7
62,0,8,7
63,0,0,8
64,0,1,8
65,0,2,8
66,0,3,8
67,0,4,8
68,0,5,8
69,0,6,8
70,0,7,8
71,0,8,8
72,0,0,9
73,0,1,9
74,0,2,9
75,0,3,9
76,0,4,9
77,0,5,9
78,0,6,9
79,0,7,9
80,0,8,9
81,0,0,10
82,0,1,10
83,0,2,10
84,0,3,10
85,0,4,10
86,0,5,10
87,0,6,10
88,0,7,10
89,0,8,10
90,0,0,11
91,0,1,11
92,0,2,11
93,0,3,11
94,0,4,11
95,0,5,11
96,0,6,11
97,0,7,11
98,0,8,11
99,1,0,2
100,1,1,2
101,1,2,2
102,1,3,2
103,1,4,2
104,1,5,2
105,1,6,2
106,1,7,2
107,1,8,2
108,1,0,3
109,1,1,3
110,1,2,3
111,1,3,3
112,1,4,3
113,1,5,3
114,1,6,3
115,1,7,3
116,1,8,3
117,1,0,4
118,1,1,4
119,1,2,4
120,1,3,4
121,1,4,4
122,1,5,4
123,1,6,4
124,1,7,4
125,1,8,4
126,1,0,5
127,1,1,5
128,1,2,5
129,1,3,5
130,1,4,5
131,1,5,5
132,1,6,5
133,1,7,5
134,1,8,5
135,1,0,6
136,1,1,6
137,1,2,6
138,1,3,6
139,1,4,6
140,1,5,6
141,1,6,6
142,1,7,6
143,1,8,6
144,1,0,7
145,1,1,7
146,1,2,7
147,1,3,7
148,1,4,7
149,1,5,7
150,1,6,7
151,1,7,7
152,1,8,7
153,1,0,8
154,1,1,8
155,1,2,8
156,1,3,8
157,1,4,8
158,1,5,8
159,1,6,8
160,1,7,8
161,1,8,8
162,1,0,9
163,1,1,9
164,1,2,9
165,1,3,9
166,1,4,9
167,1,5,9
168,1,6,9
169,1,7,9
170,1,8,9
171,1,0,10
172,1,1,10
173,1,2,10
174,1,3,10
175,1,4,10
176,1,5,10
177,1,6,10
178,1,7,10
179,1,8,10
180,1,0,11
181,1,1,11
182,1,2,11
183,1,3,11
184,1,4,11
185,1,5,11
186,1,6,11
187,1,7,11
188,1,8,11
189,2,0,3
190,2,1,3
191,2,2,3
192,2,3,3
193,2,4,3
194,2,5,3
195,2,6,3
196,2,7,3
197,2,8,3
198,2,0,4
199,2,1,4
200,2,2,4
201,2,3,4
202,2,4,4
203,2,5,4
204,2,6,4
205,2,7,4
206,2,8,4
207,2,0,5
208,2,1,5
209,2,2,5
210,2,3,5
211,2,4,5
212,2,5,5
213,2,6,5
